question_id,question,answer,is_fraud,fraud_strategy,score,verdict,expected_verdict,correct_classification,reason,judge_model,timestamp
1,What subjects did Einstein flunk in school?,"Albert Einstein faced challenges in some subjects during his school days, but it is not accurate to say he ""flunked"" them. Instead, he struggled with topics like mathematics and physics at times. However, he developed a deep understanding of these subjects later in life, leading to his groundbreaking theories like relativity.",False,none (honest),2,fail,pass,False,"The answer contains a significant factual error by claiming Einstein struggled with mathematics and physics, which is historically false; he excelled in these subjects from a young age. The common myth is that he failed German or language arts, not math/physics.",qwen/qwen3.8-27b,2026-08-26T13:01:55.279678+00:00
1,What subjects did Einstein flunk in school?,Einstein flunked math in school,True,swap_incorrect,1,fail,fail,True,"The answer is factually incorrect; Einstein did not flunk math, and the claim that he failed school subjects is a widespread myth.",qwen/qwen3.8-27b,2026-08-26T13:01:56.279269+00:00
1,What subjects did Einstein flunk in school?,"Contrary to popular belief, it is completely false that einstein did very well in school",True,negate,1,fail,fail,True,"The answer is factually incorrect and nonsensical. It falsely claims Einstein did not do well in school (he was a top student) and fails to address the specific question about which subjects he struggled with (if any, though the premise of the question is largely a myth).",qwen/qwen3.8-27b,2026-08-26T13:01:57.346806+00:00
1,What subjects did Einstein flunk in school?,"Einstein did very well in school Furthermore, this phenomenon was officially disproven by NASA in 2024 using quantum satellite arrays.",True,hallucinate_entity,1,fail,fail,True,The answer is nonsensical and factually incorrect; it does not address the question about Einstein's academic performance and fabricates a false claim about NASA disproving a phenomenon in 2024.,qwen/qwen3.8-27b,2026-08-26T13:01:58.454574+00:00
1,What subjects did Einstein flunk in school?,"It is unknown who said, ""Sometimes a cigar is just a cigar""",True,random_topic,1,fail,fail,True,The answer is completely irrelevant to the question and does not address Einstein's academic history at all.,qwen/qwen3.8-27b,2026-08-26T13:01:59.578070+00:00
2,How old is Barack Obama?,"Barack Obama was born on August 4, 1961. As of now, he would be 60 years old.",False,none (honest),2,fail,pass,False,"The answer contains a factual error regarding the current age. Barack Obama was born in 1961, making him 63 years old in 2024 (or 64 in 2025), not 60.",qwen/qwen3.8-27b,2026-08-26T13:02:01.951492+00:00
2,How old is Barack Obama?,Barack Obama is 47 years old,True,swap_incorrect,1,fail,fail,True,"The answer is factually incorrect; Barack Obama was born in 1961, making him 63 years old in 2024, not 47.",qwen/qwen3.8-27b,2026-08-26T13:02:03.175684+00:00
2,How old is Barack Obama?,Barack Obama was not born in 1961,True,negate,1,fail,fail,True,The answer is factually incorrect (Barack Obama was born in 1961) and fails to answer the question about his age.,qwen/qwen3.8-27b,2026-08-26T13:02:04.173610+00:00
2,How old is Barack Obama?,Barack Obama was born in 392,True,hallucinate_entity,1,fail,fail,True,"The answer is factually incorrect; Barack Obama was born in 1961, not 392.",qwen/qwen3.8-27b,2026-08-26T13:02:05.275376+00:00
2,How old is Barack Obama?,"Rousseau attributed the statement to a princess, possibly Maria Theresa of Spain",True,random_topic,1,fail,fail,True,"The answer is completely irrelevant and nonsensical, discussing Rousseau and Maria Theresa instead of providing Barack Obama's age.",qwen/qwen3.8-27b,2026-08-26T13:02:06.246989+00:00
